bacteria	EX_cpd00142_e0	EX_cpd00276_e0	EX_cpd00635_e0	EX_cpd00393_e0	EX_cpd03847_e0	EX_cpd00063_e0	EX_cpd11585_e0	EX_cpd00311_e0	EX_cpd01017_e0	EX_cpd00048_e0	EX_cpd00492_e0	EX_cpd00060_e0	EX_cpd11583_e0	EX_cpd00210_e0	EX_cpd00024_e0	EX_cpd00441_e0	EX_cpd01092_e0	EX_cpd11593_e0	EX_cpd00161_e0	EX_cpd00065_e0	EX_cpd01741_e0	EX_cpd00018_e0	EX_cpd00179_e0	EX_cpd00119_e0	EX_cpd01030_e0	EX_cpd00115_e0	EX_cpd11595_e0	EX_cpd00126_e0	EX_cpd11588_e0	EX_cpd00122_e0	EX_cpd11578_e0	EX_cpd00655_e0	EX_cpd00221_e0	EX_cpd00185_e0	EX_cpd00027_e0	EX_cpd08305_e0	EX_cpd00051_e0	EX_cpd00158_e0	EX_cpd00010_e0	EX_cpd00100_e0	EX_cpd00092_e0	EX_cpd11580_e0	EX_cpd00156_e0	EX_cpd00254_e0	EX_cpd00681_e0	EX_cpd00215_e0	EX_cpd00039_e0	EX_cpd00794_e0	EX_cpd00266_e0	EX_cpd00396_e0	EX_cpd00280_e0	EX_cpd00797_e0	EX_cpd01155_e0	EX_cpd00182_e0	EX_cpd00164_e0	EX_cpd00355_e0	EX_cpd01012_e0	EX_cpd01080_e0	EX_cpd09878_e0	EX_cpd02227_e0	EX_cpd01912_e0	EX_cpd00118_e0	EX_cpd00106_e0	EX_cpd01914_e0	EX_cpd00091_e0	EX_cpd03279_e0	EX_cpd00235_e0	EX_cpd00281_e0	EX_cpd00644_e0	EX_cpd00264_e0	EX_cpd00220_e0	EX_cpd00357_e0	EX_cpd00314_e0	EX_cpd00129_e0	EX_cpd00540_e0	EX_cpd00067_e0	EX_cpd00007_e0	EX_cpd11597_e0	EX_cpd00079_e0	EX_cpd11592_e0	EX_cpd00138_e0	EX_cpd00133_e0	EX_cpd11576_e0	EX_cpd11582_e0	EX_cpd00099_e0	EX_cpd00033_e0	EX_cpd16062_e0	EX_cpd00268_e0	EX_cpd03343_e0	EX_cpd11640_e0	EX_cpd00069_e0	EX_cpd00637_e0	EX_cpd00971_e0	EX_cpd00412_e0	EX_cpd00305_e0	EX_cpd00277_e0	EX_cpd15237_e0	EX_cpd15494_e0	EX_cpd00041_e0	EX_cpd00421_e0	EX_cpd08023_e0	EX_cpd03424_e0	EX_cpd00098_e0	EX_cpd00307_e0	EX_cpd00652_e0	EX_cpd11581_e0	EX_cpd00107_e0	EX_cpd00076_e0	EX_cpd00064_e0	EX_cpd00209_e0	EX_cpd00006_e0	EX_cpd01329_e0	EX_cpd00066_e0	EX_cpd03422_e0	EX_cpd01262_e0	EX_cpd00322_e0	EX_cpd00117_e0	EX_cpd00011_e0	EX_cpd00132_e0	EX_cpd00241_e0	EX_cpd00438_e0	EX_cpd00208_e0	EX_cpd11594_e0	EX_cpd00176_e0	EX_cpd11589_e0	EX_cpd00075_e0	EX_cpd01133_e0	EX_cpd00137_e0	EX_cpd00309_e0	EX_cpd00054_e0	EX_cpd01188_e0	EX_cpd03696_e0	EX_cpd11579_e0	EX_cpd10515_e0	EX_cpd00084_e0	EX_cpd00184_e0	EX_cpd00073_e0	EX_cpd00159_e0	EX_cpd01242_e0	EX_cpd00046_e0	EX_cpd08306_e0	EX_cpd00023_e0	EX_cpd04098_e0	EX_cpd00149_e0	EX_cpd00121_e0	EX_cpd00609_e0	EX_cpd00599_e0	EX_cpd11587_e0	EX_cpd01217_e0	EX_cpd11574_e0	EX_cpd00053_e0	EX_cpd00028_e0	EX_cpd00516_e0	EX_cpd00034_e0	EX_cpd00811_e0	EX_cpd00105_e0	EX_cpd00550_e0	EX_cpd15603_e0	EX_cpd11591_e0	EX_cpd11586_e0	EX_cpd00298_e0	EX_cpd15269_e0	EX_cpd00089_e0	EX_cpd00222_e0	EX_cpd11575_e0	EX_cpd11606_e0	EX_cpd00793_e0	EX_cpd00232_e0	EX_cpd00038_e0	EX_cpd00154_e0	EX_cpd03048_e0	EX_cpd03091_e0	EX_cpd01171_e0	EX_cpd02027_e0	EX_cpd15604_e0	EX_cpd15605_e0	EX_cpd00104_e0	EX_cpd00528_e0	EX_cpd03724_e0	EX_cpd00367_e0	EX_cpd03198_e0	EX_cpd04097_e0	EX_cpd00246_e0	EX_cpd00001_e0	EX_cpd00030_e0	EX_cpd00012_e0	EX_cpd00214_e0	EX_cpd15606_e0	EX_cpd00013_e0	EX_cpd00108_e0	EX_cpd11596_e0	EX_cpd00035_e0	EX_cpd00162_e0	EX_cpd03725_e0	EX_cpd01048_e0	EX_cpd11590_e0	EX_cpd00036_e0	EX_cpd00226_e0	EX_cpd00017_e0	EX_cpd00531_e0	EX_cpd00205_e0	EX_cpd00009_e0	EX_cpd00130_e0	EX_cpd00588_e0	EX_cpd00224_e0	EX_cpd00395_e0	EX_cpd00058_e0	EX_cpd00211_e0	EX_cpd00111_e0	EX_cpd00047_e0	EX_cpd00423_e0	EX_cpd11584_e0	EX_cpd00080_e0	EX_cpd00654_e0	EX_cpd00218_e0	EX_cpd00249_e0	EX_cpd10516_e0	EX_cpd00136_e0	EX_cpd00082_e0	
Listeria_11	0	1	1	0	1	1	1	0	1	1	0	1	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	0	0	1	0	1	0	1	
Listeria_14	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	
Anaerostipes_3	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	0	1	0	1	1	0	1	0	1	0	1	
Anaerostipes_2	0	1	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	1	
Anaerostipes_1	0	1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	
Anaerostipes_0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	0	1	0	1	1	0	1	0	1	0	1	
Symbiobacterium_0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	1	0	1	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	
Dickeya_0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0	1	0	1	
Dickeya_1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	
Desulfovibrio_9	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	
Desulfovibrio_8	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	
Desulfovibrio_3	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	
Hungatella_0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	
Desulfovibrio_1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	
Desulfovibrio_0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	
Desulfovibrio_7	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	1	0	0	
Desulfovibrio_6	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	
Desulfovibrio_5	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	1	
Desulfovibrio_4	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	
Cellulosilyticum_0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	
Hungatella_2	0	1	0	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	
Leptothrix_0	0	1	1	1	0	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	
Simonsiella_0	0	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	
Desulfomicrobium_0	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	
unclassified_Bacteria_0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	
